0.50307608 0.50310292
0.50384830 0.50394094
0.50439641 0.50448427
0.50739278 0.50746487
0.54094180 0.54099430
0.54242514 0.54247296
0.54367191 0.54375486
0.54777634 0.54788801
0.56887787 0.56894012
0.57019834 0.57026387
0.57252643 0.57257985
0.57389834 0.57395577
0.57555644 0.57560788
0.58609988 0.58615576
0.58810413 0.58816579
0.58886475 0.58890904
0.59012043 0.59020578
0.59203836 0.59216913
0.59334174 0.59341035
0.59482542 0.59491454
0.59562861 0.59570056
0.59713774 0.59722497
0.59906381 0.59913775
0.62781074 0.62788472
0.62936107 0.62951035
0.63071457 0.63079553
0.63251943 0.63259788
0.63438424 0.63446030
0.63726212 0.63737836
0.64659272 0.64665884
0.64773296 0.64779517
0.64906440 0.64912322
0.64973323 0.64981119
0.65180350 0.65187323
0.65338416 0.65346590
0.65501285 0.65509852
0.65761685 0.65772392
0.66008077 0.66015981
0.68752294 0.68761434
0.69097845 0.69124834
0.69246836 0.69268244
0.69451595 0.69463670
0.69720880 0.69732260
0.69830096 0.69840313
0.70114785 0.70121751
0.70291496 0.70302874
0.70651438 0.70657116
0.70895063 0.70907982
0.71197656 0.71208001
0.71491711 0.71500488
0.71828714 0.71842821
0.71949687 0.71963151
0.72287038 0.72308041
0.72446835 0.72462986
0.72587224 0.72603317
0.72887841 0.72898381
0.73185147 0.73196705
0.73325084 0.73333226
0.73620457 0.73627322
0.73854521 0.73861386
0.74162211 0.74171748
0.75947334 0.75963234
0.76215732 0.76220124
0.76717086 0.76749621
0.76974866 0.76997033
0.78824596 0.78835829
0.78972257 0.78988448
0.79304246 0.79311607
0.79731856 0.79742563
0.79862078 0.79870850
0.80148695 0.80159719
0.80922919 0.80932185
0.81096899 0.81105036
0.81352937 0.81366224
0.81592886 0.81613882
0.81943596 0.81965023
0.82137473 0.82156058
0.82324755 0.82349841
0.82442840 0.82477775
0.82890571 0.82910779
0.83229271 0.83248479
0.83509417 0.83523694
0.83690207 0.83703130
0.84326822 0.84337023
0.84622193 0.84630580
0.84888095 0.84897842
0.85215655 0.85224722
0.88594057 0.88605849
0.88813994 0.88823593
0.89358037 0.89374423
0.89811989 0.89849010
0.90268454 0.90300810
0.90759809 0.90779773
0.91259121 0.91280793
0.91341669 0.91358787
0.91569992 0.91601508
0.91962928 0.91999250
0.92508785 0.92526427
0.93055996 0.93076981
0.93400991 0.93432889
0.93521604 0.93536888
0.93872395 0.93915091
0.93929334 0.93955939
0.94502055 0.94539223
0.94915709 0.94930880
0.95403524 0.95419435
0.95983556 0.95996900
0.96448386 0.96465892
0.96593651 0.96608004
0.96716633 0.96745706
0.97166046 0.97198807
0.97509275 0.97531315
0.98009832 0.98033371
0.98444757 0.98459243
0.99107024 0.99116590
0.99794472 0.99803016
1.00240224 1.00249225
1.00799194 1.00811379
1.01212707 1.01223842
1.02396989 1.02405620
