,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
3394,"LAMP,FLAT",05:51:24.82,+15:53:03.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-21T11:45:13.615,Aug 21 2018,UVES_dic1_cal_flatfree,2018-08-21T11:34:30,79.202,,,"FREE,HER_5",58351.489741,1.0,0.91
3393,"LAMP,FLAT",05:51:24.82,+15:53:03.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-21T11:42:47.153,Aug 21 2018,UVES_dic1_cal_flatfree,2018-08-21T11:34:30,79.202,,,"FREE,HER_5",58351.488046,1.0,0.91
3392,"LAMP,FLAT",05:51:24.82,+15:53:03.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-21T11:40:21.021,Aug 21 2018,UVES_dic1_cal_flatfree,2018-08-21T11:34:30,79.202,,,"FREE,HER_5",58351.486354,1.0,0.91
3390,"LAMP,FLAT",05:51:24.82,+15:53:03.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-21T11:35:28.956,Aug 21 2018,UVES_dic1_cal_flatfree,2018-08-21T11:34:30,79.202,,,"FREE,HER_5",58351.482974,1.0,0.91
3374,"LAMP,FLAT",04:17:33.75,-73:30:30.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-12T12:02:13.331,Aug 12 2018,UVES_dic1_cal_flatfree,2018-08-12T11:51:34,79.202,,,"FREE,HER_5",58342.501543,1.0,0.63
3373,"LAMP,FLAT",04:17:33.75,-73:30:30.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-12T11:59:46.968,Aug 12 2018,UVES_dic1_cal_flatfree,2018-08-12T11:51:34,79.202,,,"FREE,HER_5",58342.499849,1.0,0.63
3372,"LAMP,FLAT",04:17:33.75,-73:30:30.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-12T11:57:20.807,Aug 12 2018,UVES_dic1_cal_flatfree,2018-08-12T11:51:34,79.202,,,"FREE,HER_5",58342.498157,1.0,0.63
3371,"LAMP,FLAT",04:17:33.75,-73:30:30.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-12T11:54:54.504,Aug 12 2018,UVES_dic1_cal_flatfree,2018-08-12T11:51:34,79.202,,,"FREE,HER_5",58342.496464,1.0,0.63
3370,"LAMP,FLAT",04:17:33.75,-73:30:30.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-08-12T11:52:28.241,Aug 12 2018,UVES_dic1_cal_flatfree,2018-08-12T11:51:34,79.202,,,"FREE,HER_5",58342.494771,1.0,0.63
3439,"LAMP,FLAT",05:20:45.77,-11:15:43.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-04T11:05:53.877,Sep  4 2018,UVES_dic1_cal_flatfree,2018-09-04T10:53:42,79.201,,,"FREE,HER_5",58365.462429,1.0,0.56
