,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
2871,"LAMP,FLAT",20:10:00.30,-30:16:01.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-07T11:38:33.421,Apr  7 2015,UVES_dic2_cal_flatfree,2015-04-07T11:37:39,136.401,,,"FREE,HER_5",57119.485109,1.0,-1.0
2872,"LAMP,FLAT",20:10:00.30,-30:16:01.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-07T11:41:56.889,Apr  7 2015,UVES_dic2_cal_flatfree,2015-04-07T11:37:39,136.402,,,"FREE,HER_5",57119.487464,1.0,-1.0
2873,"LAMP,FLAT",20:10:00.30,-30:16:01.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-07T11:45:20.286,Apr  7 2015,UVES_dic2_cal_flatfree,2015-04-07T11:37:39,136.402,,,"FREE,HER_5",57119.489818,1.0,-1.0
2874,"LAMP,FLAT",20:10:00.30,-30:16:01.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-07T11:48:43.914,Apr  7 2015,UVES_dic2_cal_flatfree,2015-04-07T11:37:39,136.401,,,"FREE,HER_5",57119.492175,1.0,-1.0
2875,"LAMP,FLAT",20:10:00.30,-30:16:01.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-07T11:52:07.402,Apr  7 2015,UVES_dic2_cal_flatfree,2015-04-07T11:37:39,136.401,,,"FREE,HER_5",57119.49453,1.0,-1.0
2876,"LAMP,FLAT",15:48:24.21,-25:57:25.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-11T16:29:49.162,Apr 11 2015,UVES_dic2_cal_flatfree,2015-04-11T16:28:53,136.401,,,"FREE,HER_5",57123.687375,1.0,-1.0
2882,"LAMP,FLAT",15:58:40.80,-22:11:46.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-13T13:47:44.079,Apr 13 2015,UVES_dic2_cal_flatfree,2015-04-13T13:46:50,136.401,,,"FREE,HER_5",57125.574816,1.0,-1.0
2883,"LAMP,FLAT",15:58:40.80,-22:11:46.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-13T13:51:07.607,Apr 13 2015,UVES_dic2_cal_flatfree,2015-04-13T13:46:50,136.401,,,"FREE,HER_5",57125.577171,1.0,-1.0
2884,"LAMP,FLAT",15:58:40.80,-22:11:46.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-13T13:54:31.035,Apr 13 2015,UVES_dic2_cal_flatfree,2015-04-13T13:46:50,136.401,,,"FREE,HER_5",57125.579526,1.0,-1.0
2885,"LAMP,FLAT",15:58:40.80,-22:11:46.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-04-13T13:57:54.554,Apr 13 2015,UVES_dic2_cal_flatfree,2015-04-13T13:46:50,136.401,,,"FREE,HER_5",57125.581881,1.0,-1.0
