,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
1436,"LAMP,FLAT",05:23:30.84,-24:31:55.4,60.A-9800(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-09-11T18:59:26.398,Sep 11 2014,UVES_dic2_cal_flatfree,2014-09-11T18:53:52,58.759,,,"FREE,OG590",56911.791278,1.0,-1.0
1435,"LAMP,FLAT",05:23:30.84,-24:31:55.4,60.A-9800(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-09-11T18:39:27.894,Sep 11 2014,UVES_dic2_cal_flatfree,2014-09-11T18:33:44,58.759,,,"FREE,OG590",56911.777406,1.0,-1.0
1822, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:48:45.418,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.84,,,"FREE,OG590",57100.158859,1.0,-1.0
1819, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:42:24.443,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.84,,,"FREE,OG590",57100.15445,1.0,-1.0
1815, ,17:53:13.61,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-18T13:39:08.052,Mar 18 2015,UVES_dic2_cal_flatfree,2015-03-18T13:31:56,57.84,,,"FREE,OG590",57099.568843,1.0,-1.0
1812,"LAMP,FLAT",17:53:13.61,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-18T13:32:45.997,Mar 18 2015,UVES_dic2_cal_flatfree,2015-03-18T13:31:56,57.84,,,"FREE,OG590",57099.564421,1.0,-1.0
1824, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:52:59.431,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.161799,1.0,-1.0
1823, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:50:52.409,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.160329,1.0,-1.0
1821, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:46:38.436,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.157389,1.0,-1.0
1820, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:44:31.415,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.155919,1.0,-1.0
1818, ,17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:40:16.832,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.152973,1.0,-1.0
1817,"LAMP,FLAT",17:53:13.60,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-19T03:38:08.960,Mar 19 2015,UVES_dic2_cal_flatfree,2015-03-19T03:36:09,57.839,,,"FREE,OG590",57100.151493,1.0,-1.0
1816, ,17:53:13.61,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-18T13:41:15.023,Mar 18 2015,UVES_dic2_cal_flatfree,2015-03-18T13:31:56,57.839,,,"FREE,OG590",57099.570313,1.0,-1.0
1814, ,17:53:13.61,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-18T13:37:01.030,Mar 18 2015,UVES_dic2_cal_flatfree,2015-03-18T13:31:56,57.839,,,"FREE,OG590",57099.567373,1.0,-1.0
1813, ,17:53:13.61,-28:16:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-03-18T13:34:53.489,Mar 18 2015,UVES_dic2_cal_flatfree,2015-03-18T13:31:56,57.838,,,"FREE,OG590",57099.565897,1.0,-1.0
1748, ,22:53:14.39,-14:52:56.5,194.C-0833(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-02-12T18:34:23.933,Feb 12 2015,UVES_dic2_cal_flatfree,2015-02-12T18:31:43,52.602,,,"FREE,OG590",57065.773888,1.0,-1.0
1796, ,16:22:31.57,-39:11:54.9,194.C-0833(B),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-02-27T19:29:30.585,Feb 27 2015,UVES_dic2_cal_flatfree,2015-02-27T19:10:16,52.599,,,"FREE,OG590",57080.81216,1.0,-1.0
