,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
0,"LAMP,FLAT",10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:29:50.943,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,32.998,,,"FREE,SHP700",58518.854062,1.0,0.51
1, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:31:32.902,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.855242,1.0,0.51
2, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:33:14.871,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,32.998,,,"FREE,SHP700",58518.856422,1.0,0.51
3, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:34:55.930,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.857592,1.0,0.51
4, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:36:37.289,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.858765,1.0,0.51
5, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:38:18.868,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.859941,1.0,0.51
6, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:40:00.926,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,32.998,,,"FREE,SHP700",58518.861122,1.0,0.51
7, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:41:42.855,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.862302,1.0,0.51
8, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:43:24.874,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,32.998,,,"FREE,SHP700",58518.863482,1.0,0.51
9, ,10:34:56.10,-58:05:45.7,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-04T20:45:07.283,Feb  4 2019,UVES_dic1_cal_flatfree,2019-02-04T20:29:10,33.001,,,"FREE,SHP700",58518.864668,1.0,0.51
10,"LAMP,FLAT",01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:35:05.465,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,33.001,,,"FREE,SHP700",58515.191035,1.0,0.73
11, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:36:47.575,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,32.998,,,"FREE,SHP700",58515.192217,1.0,0.73
12, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:38:28.534,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,32.998,,,"FREE,SHP700",58515.193386,1.0,0.73
13, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:40:10.513,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,32.998,,,"FREE,SHP700",58515.194566,1.0,0.73
14, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:41:52.771,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,32.998,,,"FREE,SHP700",58515.19575,1.0,0.73
15, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:43:34.691,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,33.001,,,"FREE,SHP700",58515.196929,1.0,0.73
16, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:45:17.190,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,32.998,,,"FREE,SHP700",58515.198116,1.0,0.73
17, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:46:58.578,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,33.001,,,"FREE,SHP700",58515.199289,1.0,0.73
18, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:48:40.517,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,33.001,,,"FREE,SHP700",58515.200469,1.0,0.73
19, ,01:43:09.80,-16:01:41.4,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-01T04:50:22.517,Feb  1 2019,UVES_dic1_cal_flatfree,2019-02-01T04:34:26,33.001,,,"FREE,SHP700",58515.201649,1.0,0.73
20,"LAMP,FLAT",10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:07:49.688,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,32.998,,,"FREE,SHP700",58519.71377,1.0,0.96
21, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:09:30.867,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,33.001,,,"FREE,SHP700",58519.714941,1.0,0.96
22, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:11:11.945,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,32.998,,,"FREE,SHP700",58519.71611,1.0,0.96
23, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:12:53.865,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,33.001,,,"FREE,SHP700",58519.71729,1.0,0.96
24, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:14:36.064,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,33.001,,,"FREE,SHP700",58519.718473,1.0,0.96
25, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:16:18.062,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,32.998,,,"FREE,SHP700",58519.719654,1.0,0.96
26, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:18:00.522,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,33.001,,,"FREE,SHP700",58519.720839,1.0,0.96
27, ,10:34:56.09,-58:05:45.3,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2019-02-05T17:19:42.850,Feb  5 2019,UVES_dic1_cal_flatfree,2019-02-05T17:07:11,32.998,,,"FREE,SHP700",58519.722024,1.0,0.96
