,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
9326, ,08:08:58.39,-47:17:08.6,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-30T14:49:51.823,Sep 30 2018,UVES_dic1_cal_flatfree,2018-09-30T14:39:02,33.001,,,"FREE,SHP700",58391.617961,1.0,0.48
9322, ,08:08:58.39,-47:17:08.6,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-30T14:43:05.586,Sep 30 2018,UVES_dic1_cal_flatfree,2018-09-30T14:39:02,33.001,,,"FREE,SHP700",58391.613259,1.0,0.48
9320,"LAMP,FLAT",08:08:58.39,-47:17:08.6,194.C-0833(G),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-30T14:39:40.748,Sep 30 2018,UVES_dic1_cal_flatfree,2018-09-30T14:39:02,33.001,,,"FREE,SHP700",58391.610888,1.0,0.48
9254, ,01:00:58.59,-33:49:13.9,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-11T21:01:13.684,Sep 11 2018,UVES_dic1_cal_flatfree,2018-09-11T20:45:18,33.001,,,"FREE,SHP700",58372.875853,1.0,0.5
9251, ,01:00:58.59,-33:49:13.9,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-11T20:56:09.474,Sep 11 2018,UVES_dic1_cal_flatfree,2018-09-11T20:45:18,33.001,,,"FREE,SHP700",58372.872332,1.0,0.5
9250, ,01:00:58.59,-33:49:13.9,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-11T20:54:27.515,Sep 11 2018,UVES_dic1_cal_flatfree,2018-09-11T20:45:18,33.001,,,"FREE,SHP700",58372.871152,1.0,0.5
9246, ,01:00:58.59,-33:49:13.9,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-11T20:47:41.455,Sep 11 2018,UVES_dic1_cal_flatfree,2018-09-11T20:45:18,33.001,,,"FREE,SHP700",58372.866452,1.0,0.5
9222, ,00:59:16.98,-33:42:49.9,194.C-0833(H),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-09T17:35:38.699,Sep  9 2018,UVES_dic1_cal_flatfree,2018-09-09T17:23:07,33.001,,,"FREE,SHP700",58370.733087,1.0,1.14
9215,"LAMP,FLAT",00:59:16.98,-33:42:49.9,194.C-0833(H),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-09T17:23:45.788,Sep  9 2018,UVES_dic1_cal_flatfree,2018-09-09T17:23:07,33.001,,,"FREE,SHP700",58370.724836,1.0,1.14
9181, ,03:30:27.87,-05:12:19.0,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-03T17:06:14.168,Sep  3 2018,UVES_dic1_cal_flatfree,2018-09-03T16:55:00,33.001,,,"FREE,SHP700",58364.712664,1.0,0.62
9178, ,03:30:27.87,-05:12:19.0,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-03T17:01:08.428,Sep  3 2018,UVES_dic1_cal_flatfree,2018-09-03T16:55:00,33.001,,,"FREE,SHP700",58364.709125,1.0,0.62
9175,"LAMP,FLAT",03:30:27.87,-05:12:19.0,194.C-0833(D),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-09-03T16:56:03.227,Sep  3 2018,UVES_dic1_cal_flatfree,2018-09-03T16:55:00,33.001,,,"FREE,SHP700",58364.705593,1.0,0.62
8265, ,10:49:13.23,-53:19:01.3,194.C-0833(F),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-02-24T07:49:01.705,Feb 24 2018,UVES_dic1_cal_flatfree,2018-02-24T05:01:55,33.001,,,"FREE,SHP700",58173.325714,1.317,0.75
