,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
0,"LAMP,FLAT",23:19:06.54,-05:15:28.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-24T12:39:06.016,Jul 24 2016,UVES_dic2_cal_flatfree,2016-07-24T12:38:15,80.98,,,"FREE,OG590",57593.527153,1.0,0.82
1, ,23:19:06.54,-05:15:28.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-24T12:41:35.229,Jul 24 2016,UVES_dic2_cal_flatfree,2016-07-24T12:38:15,80.98,,,"FREE,OG590",57593.52888,1.0,0.82
2, ,23:19:06.54,-05:15:28.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-24T12:44:04.231,Jul 24 2016,UVES_dic2_cal_flatfree,2016-07-24T12:38:15,80.98,,,"FREE,OG590",57593.530605,1.0,0.82
3, ,23:19:06.54,-05:15:28.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-24T12:46:34.215,Jul 24 2016,UVES_dic2_cal_flatfree,2016-07-24T12:38:15,80.98,,,"FREE,OG590",57593.53234,1.0,0.82
4, ,23:19:06.54,-05:15:28.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-24T12:49:04.228,Jul 24 2016,UVES_dic2_cal_flatfree,2016-07-24T12:38:15,80.98,,,"FREE,OG590",57593.534077,1.0,0.82
5,"LAMP,FLAT",03:10:22.23,-68:39:59.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-21T12:40:44.127,Aug 21 2016,UVES_dic2_cal_flatfree,2016-08-21T12:39:54,80.98,,,"FREE,OG590",57621.528289,1.0,0.98
6, ,03:10:22.23,-68:39:59.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-21T12:43:13.831,Aug 21 2016,UVES_dic2_cal_flatfree,2016-08-21T12:39:54,80.98,,,"FREE,OG590",57621.530021,1.0,0.98
7, ,03:10:22.23,-68:39:59.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-21T12:45:44.004,Aug 21 2016,UVES_dic2_cal_flatfree,2016-08-21T12:39:54,80.98,,,"FREE,OG590",57621.531759,1.0,0.98
8, ,03:10:22.23,-68:39:59.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-21T12:48:12.777,Aug 21 2016,UVES_dic2_cal_flatfree,2016-08-21T12:39:54,80.98,,,"FREE,OG590",57621.533481,1.0,0.98
9, ,03:10:22.23,-68:39:59.5,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-21T12:50:41.840,Aug 21 2016,UVES_dic2_cal_flatfree,2016-08-21T12:39:54,80.98,,,"FREE,OG590",57621.535206,1.0,0.98
10,"LAMP,FLAT",03:10:22.76,-68:39:59.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-13T13:04:58.551,Aug 13 2016,UVES_dic2_cal_flatfree,2016-08-13T13:04:08,80.98,,,"FREE,OG590",57613.545122,1.0,0.73
11, ,03:10:22.76,-68:39:59.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-13T13:07:28.394,Aug 13 2016,UVES_dic2_cal_flatfree,2016-08-13T13:04:08,80.98,,,"FREE,OG590",57613.546856,1.0,0.73
12, ,03:10:22.76,-68:39:59.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-13T13:09:58.407,Aug 13 2016,UVES_dic2_cal_flatfree,2016-08-13T13:04:08,80.98,,,"FREE,OG590",57613.548593,1.0,0.73
13, ,03:10:22.76,-68:39:59.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-13T13:12:28.380,Aug 13 2016,UVES_dic2_cal_flatfree,2016-08-13T13:04:08,80.98,,,"FREE,OG590",57613.550328,1.0,0.73
14, ,03:10:22.76,-68:39:59.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-13T13:14:57.392,Aug 13 2016,UVES_dic2_cal_flatfree,2016-08-13T13:04:08,80.98,,,"FREE,OG590",57613.552053,1.0,0.73
15,"LAMP,FLAT",08:40:50.10,-32:52:53.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-01-02T12:24:29.623,Jan  2 2017,UVES_dic2_cal_flatfree,2017-01-02T12:23:40,80.98,,,"FREE,OG590",57755.51701,1.0,0.52
16, ,08:40:50.10,-32:52:53.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-01-02T12:26:59.185,Jan  2 2017,UVES_dic2_cal_flatfree,2017-01-02T12:23:40,80.98,,,"FREE,OG590",57755.518741,1.0,0.52
17, ,08:40:50.10,-32:52:53.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-01-02T12:29:29.159,Jan  2 2017,UVES_dic2_cal_flatfree,2017-01-02T12:23:40,80.98,,,"FREE,OG590",57755.520476,1.0,0.52
18, ,08:40:50.10,-32:52:53.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-01-02T12:31:59.143,Jan  2 2017,UVES_dic2_cal_flatfree,2017-01-02T12:23:40,80.98,,,"FREE,OG590",57755.522212,1.0,0.52
19, ,08:40:50.10,-32:52:53.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-01-02T12:34:29.146,Jan  2 2017,UVES_dic2_cal_flatfree,2017-01-02T12:23:40,80.98,,,"FREE,OG590",57755.523948,1.0,0.52
20,"LAMP,FLAT",23:19:05.96,-05:15:32.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-25T13:26:46.167,Aug 25 2016,UVES_dic2_cal_flatfree,2016-08-25T13:25:56,80.98,,,"FREE,OG590",57625.560257,1.0,0.77
21, ,23:19:05.96,-05:15:32.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-25T13:29:16.240,Aug 25 2016,UVES_dic2_cal_flatfree,2016-08-25T13:25:56,80.98,,,"FREE,OG590",57625.561994,1.0,0.77
22, ,23:19:05.96,-05:15:32.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-25T13:31:46.263,Aug 25 2016,UVES_dic2_cal_flatfree,2016-08-25T13:25:56,80.98,,,"FREE,OG590",57625.56373,1.0,0.77
23, ,23:19:05.96,-05:15:32.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-25T13:34:16.226,Aug 25 2016,UVES_dic2_cal_flatfree,2016-08-25T13:25:56,80.98,,,"FREE,OG590",57625.565466,1.0,0.77
24, ,23:19:05.96,-05:15:32.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-25T13:36:46.459,Aug 25 2016,UVES_dic2_cal_flatfree,2016-08-25T13:25:56,80.98,,,"FREE,OG590",57625.567204,1.0,0.77
25,"LAMP,FLAT",03:10:21.31,-68:39:58.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-05T14:17:18.180,Sep  5 2016,UVES_dic2_cal_flatfree,2016-09-05T14:16:28,80.98,,,"FREE,OG590",57636.595349,1.0,0.62
26, ,03:10:21.31,-68:39:58.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-05T14:19:48.212,Sep  5 2016,UVES_dic2_cal_flatfree,2016-09-05T14:16:28,80.98,,,"FREE,OG590",57636.597086,1.0,0.62
27, ,03:10:21.31,-68:39:58.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-05T14:22:18.265,Sep  5 2016,UVES_dic2_cal_flatfree,2016-09-05T14:16:28,80.98,,,"FREE,OG590",57636.598823,1.0,0.62
28, ,03:10:21.31,-68:39:58.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-05T14:24:47.248,Sep  5 2016,UVES_dic2_cal_flatfree,2016-09-05T14:16:28,80.98,,,"FREE,OG590",57636.600547,1.0,0.62
29, ,03:10:21.31,-68:39:58.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-05T14:27:16.261,Sep  5 2016,UVES_dic2_cal_flatfree,2016-09-05T14:16:28,80.98,,,"FREE,OG590",57636.602272,1.0,0.62
30,"LAMP,FLAT",00:38:35.09,-72:07:33.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-09T13:07:01.934,Sep  9 2016,UVES_dic2_cal_flatfree,2016-09-09T13:06:12,80.98,,,"FREE,OG590",57640.54655,1.0,1.38
31, ,00:38:35.09,-72:07:33.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-09T13:09:31.827,Sep  9 2016,UVES_dic2_cal_flatfree,2016-09-09T13:06:12,80.98,,,"FREE,OG590",57640.548285,1.0,1.38
32, ,00:38:35.09,-72:07:33.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-09T13:12:01.390,Sep  9 2016,UVES_dic2_cal_flatfree,2016-09-09T13:06:12,80.98,,,"FREE,OG590",57640.550016,1.0,1.38
33, ,00:38:35.09,-72:07:33.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-09T13:14:30.363,Sep  9 2016,UVES_dic2_cal_flatfree,2016-09-09T13:06:12,80.98,,,"FREE,OG590",57640.55174,1.0,1.38
34, ,00:38:35.09,-72:07:33.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-09T13:17:00.387,Sep  9 2016,UVES_dic2_cal_flatfree,2016-09-09T13:06:12,80.98,,,"FREE,OG590",57640.553477,1.0,1.38
35,"LAMP,FLAT",00:14:03.18,-09:39:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-07T17:35:23.632,Aug  7 2016,UVES_dic2_cal_flatfree,2016-08-07T17:34:34,80.98,,,"FREE,OG590",57607.732912,1.0,0.99
36, ,00:14:03.18,-09:39:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-07T17:37:52.785,Aug  7 2016,UVES_dic2_cal_flatfree,2016-08-07T17:34:34,80.98,,,"FREE,OG590",57607.734639,1.0,0.99
37, ,00:14:03.18,-09:39:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-07T17:40:22.837,Aug  7 2016,UVES_dic2_cal_flatfree,2016-08-07T17:34:34,80.98,,,"FREE,OG590",57607.736375,1.0,0.99
38, ,00:14:03.18,-09:39:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-07T17:42:53.061,Aug  7 2016,UVES_dic2_cal_flatfree,2016-08-07T17:34:34,80.98,,,"FREE,OG590",57607.738114,1.0,0.99
39, ,00:14:03.18,-09:39:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-08-07T17:45:22.793,Aug  7 2016,UVES_dic2_cal_flatfree,2016-08-07T17:34:34,80.98,,,"FREE,OG590",57607.739847,1.0,0.99
40,"LAMP,FLAT",18:37:07.30,-14:01:21.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-24T11:04:24.122,Jun 24 2016,UVES_dic2_cal_flatfree,2016-06-24T11:03:35,80.98,,,"FREE,OG590",57563.46139,1.0,0.62
41, ,18:37:07.30,-14:01:21.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-24T11:06:53.615,Jun 24 2016,UVES_dic2_cal_flatfree,2016-06-24T11:03:35,80.98,,,"FREE,OG590",57563.463121,1.0,0.62
42, ,18:37:07.30,-14:01:21.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-24T11:09:23.677,Jun 24 2016,UVES_dic2_cal_flatfree,2016-06-24T11:03:35,80.98,,,"FREE,OG590",57563.464857,1.0,0.62
43, ,18:37:07.30,-14:01:21.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-24T11:11:53.620,Jun 24 2016,UVES_dic2_cal_flatfree,2016-06-24T11:03:35,80.98,,,"FREE,OG590",57563.466593,1.0,0.62
44, ,18:37:07.30,-14:01:21.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-24T11:14:22.762,Jun 24 2016,UVES_dic2_cal_flatfree,2016-06-24T11:03:35,80.98,,,"FREE,OG590",57563.468319,1.0,0.62
45,"LAMP,FLAT",04:27:23.93,-12:18:09.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-13T12:56:17.748,Sep 13 2016,UVES_dic2_cal_flatfree,2016-09-13T12:55:28,80.98,,,"FREE,OG590",57644.539094,1.0,0.5
46, ,04:27:23.93,-12:18:09.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-13T12:58:47.401,Sep 13 2016,UVES_dic2_cal_flatfree,2016-09-13T12:55:28,80.98,,,"FREE,OG590",57644.540826,1.0,0.5
47, ,04:27:23.93,-12:18:09.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-13T13:01:16.914,Sep 13 2016,UVES_dic2_cal_flatfree,2016-09-13T12:55:28,80.98,,,"FREE,OG590",57644.542557,1.0,0.5
48, ,04:27:23.93,-12:18:09.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-13T13:03:46.926,Sep 13 2016,UVES_dic2_cal_flatfree,2016-09-13T12:55:28,80.98,,,"FREE,OG590",57644.544293,1.0,0.5
49, ,04:27:23.93,-12:18:09.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-09-13T13:06:16.830,Sep 13 2016,UVES_dic2_cal_flatfree,2016-09-13T12:55:28,80.977,,,"FREE,OG590",57644.546028,1.0,0.5
50,"LAMP,FLAT",17:50:22.43,-29:58:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-12T13:30:15.269,Jun 12 2016,UVES_dic2_cal_flatfree,2016-06-12T13:29:25,80.98,,,"FREE,OG590",57551.562677,1.0,0.7
51, ,17:50:22.43,-29:58:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-12T13:32:45.122,Jun 12 2016,UVES_dic2_cal_flatfree,2016-06-12T13:29:25,80.98,,,"FREE,OG590",57551.564411,1.0,0.7
52, ,17:50:22.43,-29:58:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-12T13:35:15.115,Jun 12 2016,UVES_dic2_cal_flatfree,2016-06-12T13:29:25,80.98,,,"FREE,OG590",57551.566147,1.0,0.7
53, ,17:50:22.43,-29:58:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-12T13:37:45.109,Jun 12 2016,UVES_dic2_cal_flatfree,2016-06-12T13:29:25,80.977,,,"FREE,OG590",57551.567883,1.0,0.7
54, ,17:50:22.43,-29:58:48.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-12T13:40:15.122,Jun 12 2016,UVES_dic2_cal_flatfree,2016-06-12T13:29:25,80.98,,,"FREE,OG590",57551.569619,1.0,0.7
55,"LAMP,FLAT",20:21:19.67,-42:06:23.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-28T15:13:15.256,Jun 28 2016,UVES_dic2_cal_flatfree,2016-06-28T15:12:10,80.98,,,"FREE,OG590",57567.634204,1.0,1.53
56, ,20:21:19.67,-42:06:23.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-28T15:15:44.870,Jun 28 2016,UVES_dic2_cal_flatfree,2016-06-28T15:12:10,80.98,,,"FREE,OG590",57567.635936,1.0,1.53
57, ,20:21:19.67,-42:06:23.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-28T15:18:13.722,Jun 28 2016,UVES_dic2_cal_flatfree,2016-06-28T15:12:10,80.977,,,"FREE,OG590",57567.637659,1.0,1.53
58, ,20:21:19.67,-42:06:23.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-28T15:20:43.765,Jun 28 2016,UVES_dic2_cal_flatfree,2016-06-28T15:12:10,80.98,,,"FREE,OG590",57567.639395,1.0,1.53
59, ,20:21:19.67,-42:06:23.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-28T15:23:13.679,Jun 28 2016,UVES_dic2_cal_flatfree,2016-06-28T15:12:10,80.98,,,"FREE,OG590",57567.641131,1.0,1.53
60,"LAMP,FLAT",21:17:18.84,-04:35:26.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-16T13:05:19.340,Jun 16 2016,UVES_dic2_cal_flatfree,2016-06-16T13:04:26,80.98,,,"FREE,OG590",57555.545363,1.0,1.35
61, ,21:17:18.84,-04:35:26.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-16T13:07:49.303,Jun 16 2016,UVES_dic2_cal_flatfree,2016-06-16T13:04:26,80.977,,,"FREE,OG590",57555.547098,1.0,1.35
62, ,21:17:18.84,-04:35:26.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-16T13:10:19.306,Jun 16 2016,UVES_dic2_cal_flatfree,2016-06-16T13:04:26,80.98,,,"FREE,OG590",57555.548835,1.0,1.35
63, ,21:17:18.84,-04:35:26.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-16T13:12:49.309,Jun 16 2016,UVES_dic2_cal_flatfree,2016-06-16T13:04:26,80.98,,,"FREE,OG590",57555.550571,1.0,1.35
64, ,21:17:18.84,-04:35:26.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-06-16T13:15:19.342,Jun 16 2016,UVES_dic2_cal_flatfree,2016-06-16T13:04:26,80.98,,,"FREE,OG590",57555.552307,1.0,1.35
65,"LAMP,FLAT",23:19:06.46,-05:15:29.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-28T13:34:06.618,Jul 28 2016,UVES_dic2_cal_flatfree,2016-07-28T13:33:17,80.98,,,"FREE,OG590",57597.565354,1.0,0.46
66, ,23:19:06.46,-05:15:29.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-28T13:36:36.531,Jul 28 2016,UVES_dic2_cal_flatfree,2016-07-28T13:33:17,80.98,,,"FREE,OG590",57597.567089,1.0,0.46
67, ,23:19:06.46,-05:15:29.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-28T13:39:06.584,Jul 28 2016,UVES_dic2_cal_flatfree,2016-07-28T13:33:17,80.977,,,"FREE,OG590",57597.568826,1.0,0.46
68, ,23:19:06.46,-05:15:29.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-28T13:41:35.567,Jul 28 2016,UVES_dic2_cal_flatfree,2016-07-28T13:33:17,80.98,,,"FREE,OG590",57597.570551,1.0,0.46
69, ,23:19:06.46,-05:15:29.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-28T13:44:05.510,Jul 28 2016,UVES_dic2_cal_flatfree,2016-07-28T13:33:17,80.98,,,"FREE,OG590",57597.572286,1.0,0.46
70,"LAMP,FLAT",05:04:01.74,-33:43:46.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2016-07-14T13:39:30.878,Jul 14 2016,UVES_dic2_cal_flatfree,2016-07-14T13:38:40,80.979,,,"FREE,OG590",57583.569107,1.0,1.05
