,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
2265,"LAMP,FLAT",07:38:08.50,+05:18:10.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-30T11:10:12.649,Nov 30 2015,UVES_dic2_cal_flatfree,2015-11-30T11:08:16,15.998,,,"FREE,OG590",57356.465424,1.0,-1.0
2266, ,07:38:08.50,+05:18:10.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-30T11:11:37.467,Nov 30 2015,UVES_dic2_cal_flatfree,2015-11-30T11:08:16,15.998,,,"FREE,OG590",57356.466406,1.0,-1.0
2267, ,07:38:08.50,+05:18:10.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-30T11:13:02.504,Nov 30 2015,UVES_dic2_cal_flatfree,2015-11-30T11:08:16,15.998,,,"FREE,OG590",57356.46739,1.0,-1.0
2268, ,07:38:08.50,+05:18:10.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-30T11:14:26.651,Nov 30 2015,UVES_dic2_cal_flatfree,2015-11-30T11:08:16,15.998,,,"FREE,OG590",57356.468364,1.0,-1.0
2269, ,07:38:08.50,+05:18:10.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-11-30T11:15:52.039,Nov 30 2015,UVES_dic2_cal_flatfree,2015-11-30T11:08:16,15.998,,,"FREE,OG590",57356.469352,1.0,-1.0
2270,"LAMP,FLAT",05:15:45.82,-05:04:33.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-14T11:03:31.363,Dec 14 2015,UVES_dic2_cal_flatfree,2015-12-14T11:01:35,15.998,,,"FREE,OG590",57370.46078,1.0,-1.0
2271, ,05:15:45.82,-05:04:33.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-14T11:04:56.080,Dec 14 2015,UVES_dic2_cal_flatfree,2015-12-14T11:01:35,15.998,,,"FREE,OG590",57370.46176,1.0,-1.0
2272, ,05:15:45.82,-05:04:33.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-14T11:06:20.088,Dec 14 2015,UVES_dic2_cal_flatfree,2015-12-14T11:01:35,15.998,,,"FREE,OG590",57370.462733,1.0,-1.0
2273, ,05:15:45.82,-05:04:33.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-14T11:07:44.625,Dec 14 2015,UVES_dic2_cal_flatfree,2015-12-14T11:01:35,15.998,,,"FREE,OG590",57370.463711,1.0,-1.0
2274, ,05:15:45.82,-05:04:33.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-14T11:09:09.583,Dec 14 2015,UVES_dic2_cal_flatfree,2015-12-14T11:01:35,15.998,,,"FREE,OG590",57370.464694,1.0,-1.0
2275,"LAMP,FLAT",12:08:35.22,+07:53:24.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-21T11:03:09.967,Dec 21 2015,UVES_dic2_cal_flatfree,2015-12-21T11:01:14,15.998,,,"FREE,OG590",57377.460532,1.0,-1.0
2276, ,12:08:35.22,+07:53:24.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-21T11:04:34.255,Dec 21 2015,UVES_dic2_cal_flatfree,2015-12-21T11:01:14,15.998,,,"FREE,OG590",57377.461508,1.0,-1.0
2277, ,12:08:35.22,+07:53:24.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-21T11:05:58.752,Dec 21 2015,UVES_dic2_cal_flatfree,2015-12-21T11:01:14,15.998,,,"FREE,OG590",57377.462486,1.0,-1.0
2278, ,12:08:35.22,+07:53:24.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-21T11:07:23.080,Dec 21 2015,UVES_dic2_cal_flatfree,2015-12-21T11:01:14,15.998,,,"FREE,OG590",57377.463462,1.0,-1.0
2279, ,12:08:35.22,+07:53:24.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-21T11:08:47.167,Dec 21 2015,UVES_dic2_cal_flatfree,2015-12-21T11:01:14,15.998,,,"FREE,OG590",57377.464435,1.0,-1.0
2280,"LAMP,FLAT",06:28:50.32,-76:20:59.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-22T10:48:25.085,Dec 22 2015,UVES_dic2_cal_flatfree,2015-12-22T10:47:36,39.438,,,"FREE,OG590",57378.45029,1.0,-1.0
2281, ,06:28:50.32,-76:20:59.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-22T10:50:13.105,Dec 22 2015,UVES_dic2_cal_flatfree,2015-12-22T10:47:36,39.438,,,"FREE,OG590",57378.451541,1.0,-1.0
2282, ,06:28:50.32,-76:20:59.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-22T10:52:01.294,Dec 22 2015,UVES_dic2_cal_flatfree,2015-12-22T10:47:36,39.438,,,"FREE,OG590",57378.452793,1.0,-1.0
2283, ,06:28:50.32,-76:20:59.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-22T10:53:48.913,Dec 22 2015,UVES_dic2_cal_flatfree,2015-12-22T10:47:36,39.438,,,"FREE,OG590",57378.454038,1.0,-1.0
2284, ,06:28:50.32,-76:20:59.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2015-12-22T10:55:36.973,Dec 22 2015,UVES_dic2_cal_flatfree,2015-12-22T10:47:36,39.438,,,"FREE,OG590",57378.455289,1.0,-1.0
