,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
6872,"LAMP,FLAT",10:22:07.49,-24:14:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-19T13:33:25.481,Jan 19 2018,UVES_dic2_cal_flatfree,2018-01-19T13:01:07,426.992,,,"FREE,HER_5",58137.564878,1.0,1.32
6871,"LAMP,FLAT",10:22:07.49,-24:14:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-19T13:25:35.230,Jan 19 2018,UVES_dic2_cal_flatfree,2018-01-19T13:01:07,426.992,,,"FREE,HER_5",58137.559436,1.0,1.32
6870,"LAMP,FLAT",10:22:07.49,-24:14:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-19T13:17:44.549,Jan 19 2018,UVES_dic2_cal_flatfree,2018-01-19T13:01:07,426.992,,,"FREE,HER_5",58137.553988,1.0,1.32
6869,"LAMP,FLAT",10:22:07.49,-24:14:34.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-19T13:09:54.298,Jan 19 2018,UVES_dic2_cal_flatfree,2018-01-19T13:01:07,426.992,,,"FREE,HER_5",58137.548545,1.0,1.32
6837,"LAMP,FLAT",12:40:58.14,+17:37:19.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-16T14:24:02.483,Jan 16 2018,UVES_dic2_cal_flatfree,2018-01-16T13:51:44,426.992,,,"FREE,HER_5",58134.600029,1.0,0.99
6836,"LAMP,FLAT",12:40:58.14,+17:37:19.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-16T14:16:11.882,Jan 16 2018,UVES_dic2_cal_flatfree,2018-01-16T13:51:44,426.992,,,"FREE,HER_5",58134.594582,1.0,0.99
6835,"LAMP,FLAT",12:40:58.14,+17:37:19.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-16T14:08:21.702,Jan 16 2018,UVES_dic2_cal_flatfree,2018-01-16T13:51:44,426.992,,,"FREE,HER_5",58134.58914,1.0,0.99
6834,"LAMP,FLAT",12:40:58.14,+17:37:19.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-16T14:00:31.712,Jan 16 2018,UVES_dic2_cal_flatfree,2018-01-16T13:51:44,426.992,,,"FREE,HER_5",58134.5837,1.0,0.99
6833,"LAMP,FLAT",12:40:58.14,+17:37:19.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-16T13:52:41.081,Jan 16 2018,UVES_dic2_cal_flatfree,2018-01-16T13:51:44,426.992,,,"FREE,HER_5",58134.578253,1.0,0.99
6817,"LAMP,FLAT",08:40:47.80,-32:52:39.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2018-01-13T11:26:26.776,Jan 13 2018,UVES_dic2_cal_flatfree,2018-01-13T10:54:09,426.992,,,"FREE,HER_5",58131.476699,1.0,1.01
