,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
2370,"LAMP,FLAT",14:55:49.96,-35:37:48.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T12:58:51.698,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T12:57:53,59.402,,,"FREE,HER_5",57807.540876,1.0,1.14
2371,"LAMP,FLAT",14:55:49.96,-35:37:48.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T13:00:59.479,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T12:57:53,59.401,,,"FREE,HER_5",57807.542355,1.0,1.14
2372,"LAMP,FLAT",14:55:49.96,-35:37:48.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T13:03:06.549,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T12:57:53,59.401,,,"FREE,HER_5",57807.543826,1.0,1.14
2373,"LAMP,FLAT",14:55:49.96,-35:37:48.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T13:05:13.689,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T12:57:53,59.402,,,"FREE,HER_5",57807.545297,1.0,1.14
2374,"LAMP,FLAT",14:55:49.96,-35:37:48.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T13:07:21.169,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T12:57:53,59.402,,,"FREE,HER_5",57807.546773,1.0,1.14
2375,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:04:56.240,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.753429,1.0,1.14
2376,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:06:38.148,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.754608,1.0,1.14
2377,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:08:20.206,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.202,,,"FREE,HER_5",57807.755789,1.0,1.14
2378,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:10:02.364,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.202,,,"FREE,HER_5",57807.756972,1.0,1.14
2379,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:11:44.822,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.758158,1.0,1.14
2380,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:13:26.740,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.202,,,"FREE,HER_5",57807.759337,1.0,1.14
2381,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:15:09.159,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.760523,1.0,1.14
2382,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:16:51.537,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.761708,1.0,1.14
2383,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:18:33.685,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.76289,1.0,1.14
2384,"LAMP,FLAT",14:55:49.96,-35:37:48.3,194.C-0833(E),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-02-23T18:20:16.103,Feb 23 2017,UVES_dic1_cal_flatfree,2017-02-23T18:03:01,35.201,,,"FREE,HER_5",57807.764075,1.0,1.14
2410,"LAMP,FLAT",16:29:11.09,-27:52:54.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-02T12:44:23.687,Apr  2 2017,UVES_dic1_cal_flatfree,2017-04-02T12:43:26,39.601,,,"FREE,HER_5",57845.53083,1.0,1.09
2411,"LAMP,FLAT",16:29:11.09,-27:52:54.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-02T12:46:10.216,Apr  2 2017,UVES_dic1_cal_flatfree,2017-04-02T12:43:26,39.601,,,"FREE,HER_5",57845.532063,1.0,1.09
2412,"LAMP,FLAT",16:29:11.09,-27:52:54.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-02T12:47:56.924,Apr  2 2017,UVES_dic1_cal_flatfree,2017-04-02T12:43:26,39.602,,,"FREE,HER_5",57845.533298,1.0,1.09
2413,"LAMP,FLAT",16:29:11.09,-27:52:54.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-02T12:49:43.253,Apr  2 2017,UVES_dic1_cal_flatfree,2017-04-02T12:43:26,39.602,,,"FREE,HER_5",57845.534528,1.0,1.09
2414,"LAMP,FLAT",16:29:11.09,-27:52:54.4,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-02T12:51:29.841,Apr  2 2017,UVES_dic1_cal_flatfree,2017-04-02T12:43:26,39.601,,,"FREE,HER_5",57845.535762,1.0,1.09
2430,"LAMP,FLAT",21:06:16.98,-10:51:52.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-05T12:30:55.407,Apr  5 2017,UVES_dic1_cal_flatfree,2017-04-05T12:30:02,39.852,,,"FREE,HER_5",57848.521475,1.0,0.79
2431,"LAMP,FLAT",21:01:24.81,-10:26:36.0,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-05T12:32:18.304,Apr  5 2017,UVES_dic1_cal_flatfree,2017-04-05T12:30:02,39.852,,,"FREE,HER_5",57848.522434,1.0,0.79
2432,"LAMP,FLAT",20:56:24.14,-10:08:40.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-05T12:33:41.820,Apr  5 2017,UVES_dic1_cal_flatfree,2017-04-05T12:30:02,39.851,,,"FREE,HER_5",57848.523401,1.0,0.79
2433,"LAMP,FLAT",20:51:25.17,-09:58:30.8,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-05T12:35:04.437,Apr  5 2017,UVES_dic1_cal_flatfree,2017-04-05T12:30:02,39.851,,,"FREE,HER_5",57848.524357,1.0,0.79
2434,"LAMP,FLAT",20:46:16.32,-09:55:47.7,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-05T12:36:27.493,Apr  5 2017,UVES_dic1_cal_flatfree,2017-04-05T12:30:02,39.851,,,"FREE,HER_5",57848.525318,1.0,0.79
2450,"LAMP,FLAT",16:22:22.90,-39:11:34.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-13T12:02:25.381,Apr 13 2017,UVES_dic1_cal_flatfree,2017-04-13T12:01:28,54.001,,,"FREE,HER_5",57856.501683,1.0,1.35
2451,"LAMP,FLAT",16:22:22.90,-39:11:34.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-13T12:04:26.431,Apr 13 2017,UVES_dic1_cal_flatfree,2017-04-13T12:01:28,54.002,,,"FREE,HER_5",57856.503084,1.0,1.35
2452,"LAMP,FLAT",16:22:22.90,-39:11:34.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-13T12:06:27.350,Apr 13 2017,UVES_dic1_cal_flatfree,2017-04-13T12:01:28,54.002,,,"FREE,HER_5",57856.504483,1.0,1.35
2453,"LAMP,FLAT",16:22:22.90,-39:11:34.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-13T12:08:28.330,Apr 13 2017,UVES_dic1_cal_flatfree,2017-04-13T12:01:28,54.002,,,"FREE,HER_5",57856.505883,1.0,1.35
2454,"LAMP,FLAT",16:22:22.90,-39:11:34.6,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2017-04-13T12:10:29.530,Apr 13 2017,UVES_dic1_cal_flatfree,2017-04-13T12:01:28,54.002,,,"FREE,HER_5",57856.507286,1.0,1.35
