!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 56852.5210497   -10.189         -0.545        
 56858.4994494   -10.682         -0.587        
 56858.5006245   -5.629          -0.129        
 56859.4983543   -7.216          -2.504        
 56859.5099317   -10.505         -0.343        
 56860.4908904   -3.943          -1.069        
 56861.4690829   -7.624          -2.245        
 56861.4780539   -5.789          0.224         
 56864.521596    -5.78           0.029         
 56865.4453804   -7.0            -2.395        
 56866.498955    -7.097          -2.498        
 56866.5105301   -10.573         -0.34         
 56868.4821424   -7.207          -2.727        
 56868.4831858   -3.936          -1.39         
 56868.4973249   -5.705          -0.171        
 56870.4909052   -11.09          -0.622        
 56871.4804441   -5.851          -0.174        
 56873.4985567   -7.45           -2.899        
 56873.5102919   -10.918         -0.657        
 56873.5648727   -3.874          -1.373        
 56874.4835079   -7.505          -2.825        
 56874.4950814   -11.108         -0.492        
 56874.5516266   -11.115         -0.451        
 56874.5527944   -5.854          -0.21         
 56875.4959281   -7.614          -2.616        
 56875.5075137   -11.004         -0.273        
 56876.500966    -7.508          -2.593        
 56877.4892763   -5.719          -0.107        
 56878.5078713   -4.004          -1.289        
 56879.467543    -7.412          -2.71         
 56882.4822826   -7.266          -2.762        
 56882.4938613   -10.524         -0.5          
 56882.5492434   -10.6           -0.477        
 56884.4679377   -7.243          -2.64         
 56885.4840761   -3.986          -1.448        
 56885.4910915   -10.77          -0.451        
 56888.4826174   -5.872          -0.257        
 56889.4726389   -7.535          -2.962        
 56889.4842171   -10.908         -0.61         
 56890.4786581   -11.082         -0.555        
 56891.4714541   -5.962          -0.082        
 56895.469575    -5.83           -0.007        
 56896.4672369   -7.067          -2.446        
 56896.4788684   -10.677         -0.161        
 56896.5341713   -10.839         -0.193        
 56897.455761    -7.336          -2.549        
 56899.4734422   -5.747          0.01          
 56901.4723364   -7.165          -2.466        
 56903.4757556   -7.366          -2.798        
 56903.4873289   -10.696         -0.518        
 56903.5435183   -10.632         -0.497        
 56903.5446897   -5.65           -0.06         
 56906.547303    -10.466         -0.353        
 56906.5484755   -5.563          -0.075        
 56910.4862633   -7.052          -2.816        
 56910.4978629   -10.49          -0.528        
 56914.381409    -6.894          -2.433        
 56915.4093925   -10.471         -0.547        
 56917.4123023   -7.342          -2.801        
 56917.4240489   -11.105         -0.44         
 56919.3944388   -5.866          0.04          
 56920.4565425   -7.301          -2.569        
