,OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
20,HD184915,19:36:53.36,-07:01:38.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T03:29:15.600,Sep 15 2015,UVES_dic1_obs_exp,2014-09-15T03:22:15,18.001,,,"FREE,HER_5",56915.145319,1.374,-1.0
21,HD93030,10:42:57.29,-64:23:39.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-12-10T06:38:35.440,Dec 10 2015,UVES_dic2_obs_exp,2014-12-10T06:28:14,1.201,,,"FREE,HER_5",57001.276799,1.628,-1.0
22,HD184915,19:36:53.36,-07:01:38.6,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-16T03:53:54.631,Sep 16 2015,UVES_dic1_obs_exp,2014-09-16T03:48:01,18.001,,,"FREE,HER_5",56916.162438,1.543,-1.0
23,HD23016,03:42:18.97,+19:42:01.2,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-23T07:50:31.788,Sep 23 2015,UVES_dic2_obs_exp,2014-09-23T07:45:45,17.999,,,"FREE,OG590",56923.326757,1.408,0.8
24,HD37041,05:35:22.85,-05:24:57.7,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-24T07:17:46.431,Sep 24 2015,UVES_dic1_obs_exp,2014-09-24T06:36:08,59.999,,,"FREE,SHP700",56924.30401,1.403,-1.0
25,HD37041,05:35:22.87,-05:24:57.5,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-24T07:40:46.551,Sep 24 2015,UVES_dic2_obs_exp,2014-09-24T07:27:33,40.001,,,"FREE,HER_5",56924.319983,1.299,-1.0
26,HD148605,16:30:12.51,-25:06:56.0,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T01:08:43.488,Sep 15 2015,UVES_dic1_obs_exp,2014-09-15T01:07:04,15.001,,,"FREE,HER_5",56915.047726,1.482,-1.0
27,HD184915,19:36:53.33,-07:01:38.4,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-15T04:01:03.553,Sep 15 2015,UVES_dic2_obs_exp,2014-09-15T03:57:37,11.001,,,"FREE,HER_5",56915.167402,1.566,-1.0
28,HD167264,18:15:12.83,-20:43:43.8,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-20T00:00:47.320,Sep 20 2015,UVES_dic2_obs_exp,2014-09-19T23:54:53,18.0,,,"FREE,HER_5",56920.000548,1.03,1.41
29,HD36486,05:32:00.39,-00:17:56.5,194.C-0833(A),UVES,SCIENCE,"OBJECT,POINT",ECHELLE,UVES.2014-09-24T08:03:45.128,Sep 24 2015,UVES_dic1_obs_exp,2014-09-24T08:01:28,1.599,,,"FREE,SHP700",56924.335939,1.261,1.77
