,file_name,wave_setting,MJD-OBS,path
790,UVES.2018-01-19T14_37_09.286.fits,860,58137.609135262,EDIBLES_raw_all/UVES.2018-01-19T14_37_09.286.fits
791,UVES.2018-02-01T12_21_21.680.fits,860,58150.514834258,EDIBLES_raw_all/UVES.2018-02-01T12_21_21.680.fits
792,UVES.2018-02-11T11_45_32.281.fits,860,58160.489956963,EDIBLES_raw_all/UVES.2018-02-11T11_45_32.281.fits
793,UVES.2018-02-12T12_38_05.905.fits,860,58161.526457227,EDIBLES_raw_all/UVES.2018-02-12T12_38_05.905.fits
794,UVES.2018-02-15T12_34_42.192.fits,860,58164.524099454,EDIBLES_raw_all/UVES.2018-02-15T12_34_42.192.fits
795,UVES.2018-02-18T13_00_15.800.fits,860,58167.541849545,EDIBLES_raw_all/UVES.2018-02-18T13_00_15.800.fits
796,UVES.2018-03-17T12_25_42.624.fits,860,58194.517854444,EDIBLES_raw_all/UVES.2018-03-17T12_25_42.624.fits
797,UVES.2018-03-18T12_13_25.447.fits,860,58195.509322295,EDIBLES_raw_all/UVES.2018-03-18T12_13_25.447.fits
798,UVES.2018-06-19T15_38_04.023.fits,860,58288.651435453,EDIBLES_raw_all/UVES.2018-06-19T15_38_04.023.fits
799,UVES.2018-06-20T12_57_27.686.fits,860,58289.539903773,EDIBLES_raw_all/UVES.2018-06-20T12_57_27.686.fits
800,UVES.2018-06-27T12_50_25.722.fits,860,58296.535019934,EDIBLES_raw_all/UVES.2018-06-27T12_50_25.722.fits
801,UVES.2018-06-29T13_20_53.670.fits,860,58298.556176743,EDIBLES_raw_all/UVES.2018-06-29T13_20_53.670.fits
802,UVES.2018-07-11T12_48_59.616.fits,860,58310.53402333,EDIBLES_raw_all/UVES.2018-07-11T12_48_59.616.fits
803,UVES.2018-07-14T12_46_58.674.fits,860,58313.532623544,EDIBLES_raw_all/UVES.2018-07-14T12_46_58.674.fits
804,UVES.2018-07-18T13_21_52.154.fits,860,58317.556853639,EDIBLES_raw_all/UVES.2018-07-18T13_21_52.154.fits
805,UVES.2018-07-22T11_15_26.290.fits,860,58321.469054284,EDIBLES_raw_all/UVES.2018-07-22T11_15_26.290.fits
806,UVES.2018-07-31T13_32_26.330.fits,860,58330.564193634,EDIBLES_raw_all/UVES.2018-07-31T13_32_26.330.fits
807,UVES.2018-08-01T11_21_41.521.fits,860,58331.47339723,EDIBLES_raw_all/UVES.2018-08-01T11_21_41.521.fits
808,UVES.2018-08-22T12_50_13.205.fits,860,58352.534875064,EDIBLES_raw_all/UVES.2018-08-22T12_50_13.205.fits
809,UVES.2018-08-24T13_13_22.783.fits,860,58354.550958139,EDIBLES_raw_all/UVES.2018-08-24T13_13_22.783.fits
810,UVES.2018-08-24T13_15_04.404.fits,860,58354.552134296,EDIBLES_raw_all/UVES.2018-08-24T13_15_04.404.fits
811,UVES.2018-09-01T12_57_30.737.fits,860,58362.539939077,EDIBLES_raw_all/UVES.2018-09-01T12_57_30.737.fits
812,UVES.2018-09-02T13_25_32.326.fits,860,58363.559401924,EDIBLES_raw_all/UVES.2018-09-02T13_25_32.326.fits
813,UVES.2018-09-05T12_18_27.906.fits,860,58366.512822986,EDIBLES_raw_all/UVES.2018-09-05T12_18_27.906.fits
814,UVES.2018-09-07T12_28_14.731.fits,860,58368.519614935,EDIBLES_raw_all/UVES.2018-09-07T12_28_14.731.fits
815,UVES.2018-09-11T13_35_03.734.fits,860,58372.566015443,EDIBLES_raw_all/UVES.2018-09-11T13_35_03.734.fits
816,UVES.2018-09-12T13_53_21.682.fits,860,58373.578723171,EDIBLES_raw_all/UVES.2018-09-12T13_53_21.682.fits
817,UVES.2018-09-26T12_28_52.077.fits,860,58387.520047189,EDIBLES_raw_all/UVES.2018-09-26T12_28_52.077.fits
818,UVES.2018-09-30T11_31_41.230.fits,860,58391.480338314,EDIBLES_raw_all/UVES.2018-09-30T11_31_41.230.fits
819,UVES.2018-10-09T12_19_07.988.fits,860,58400.513286901,EDIBLES_raw_all/UVES.2018-10-09T12_19_07.988.fits
820,UVES.2018-10-10T11_47_31.747.fits,860,58401.491339668,EDIBLES_raw_all/UVES.2018-10-10T11_47_31.747.fits
821,UVES.2018-12-06T11_22_31.028.fits,860,58458.473970228,calib_raw/UVES.2018-12-06T11_22_31.028.fits
822,UVES.2018-12-09T11_15_23.191.fits,860,58461.46901842,calib_raw/UVES.2018-12-09T11_15_23.191.fits
823,UVES.2018-12-18T11_40_20.484.fits,860,58470.486348199,calib_raw/UVES.2018-12-18T11_40_20.484.fits
824,UVES.2018-12-30T11_53_06.135.fits,860,58482.495209899,calib_raw/UVES.2018-12-30T11_53_06.135.fits
825,UVES.2019-01-02T10_52_12.724.fits,860,58485.452925055,EDIBLES_raw_all/UVES.2019-01-02T10_52_12.724.fits
