
OBJECT,RA,DEC,Program_ID,Instrument,Category,Type,Mode,Dataset ID,Release_Date,TPL ID,TPL START,Exptime,filter_lambda_min,filter_lambda_max,Filter,MJD-OBS,Airmass,DIMM Seeing at Start
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T10:08:23.338,Jan  3 2014,UVES_dic1_cal_flatfree,2014-01-03T10:06:04,    13.001,,,"FREE,HER_5",56660.422492,1.000,-1.00
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T10:09:43.426,Jan  3 2014,UVES_dic1_cal_flatfree,2014-01-03T10:06:04,    13.001,,,"FREE,HER_5",56660.423419,1.000,-1.00
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T10:11:03.552,Jan  3 2014,UVES_dic1_cal_flatfree,2014-01-03T10:06:04,    13.001,,,"FREE,HER_5",56660.424347,1.000,-1.00
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T10:12:23.359,Jan  3 2014,UVES_dic1_cal_flatfree,2014-01-03T10:06:04,    13.001,,,"FREE,HER_5",56660.425270,1.000,-1.00
"LAMP,FLAT",08:40:56.54,-32:53:28.1,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-03T10:13:43.517,Jan  3 2014,UVES_dic1_cal_flatfree,2014-01-03T10:06:04,    13.001,,,"FREE,HER_5",56660.426198,1.000,-1.00
"LAMP,FLAT",13:24:39.47,-42:56:49.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-09T10:40:18.301,Jan  9 2014,UVES_dic1_cal_flatfree,2014-01-09T10:39:22,    16.931,,,"FREE,HER_5",56666.444656,1.000,-1.00
"LAMP,FLAT",13:24:39.47,-42:56:49.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-09T10:41:42.537,Jan  9 2014,UVES_dic1_cal_flatfree,2014-01-09T10:39:22,    16.931,,,"FREE,HER_5",56666.445631,1.000,-1.00
"LAMP,FLAT",13:24:39.47,-42:56:49.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-09T10:43:06.405,Jan  9 2014,UVES_dic1_cal_flatfree,2014-01-09T10:39:22,    16.930,,,"FREE,HER_5",56666.446602,1.000,-1.00
"LAMP,FLAT",13:24:39.47,-42:56:49.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-09T10:44:30.452,Jan  9 2014,UVES_dic1_cal_flatfree,2014-01-09T10:39:22,    16.931,,,"FREE,HER_5",56666.447575,1.000,-1.00
"LAMP,FLAT",13:24:39.47,-42:56:49.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-09T10:45:54.170,Jan  9 2014,UVES_dic1_cal_flatfree,2014-01-09T10:39:22,    16.931,,,"FREE,HER_5",56666.448544,1.000,-1.00
"LAMP,FLAT",13:48:10.30,-30:13:24.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-10T10:49:40.390,Jan 10 2014,UVES_dic1_cal_flatfree,2014-01-10T10:47:21,    13.001,,,"FREE,HER_5",56667.451162,1.000,-1.00
"LAMP,FLAT",13:48:10.30,-30:13:24.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-10T10:51:00.598,Jan 10 2014,UVES_dic1_cal_flatfree,2014-01-10T10:47:21,    13.001,,,"FREE,HER_5",56667.452090,1.000,-1.00
"LAMP,FLAT",13:48:10.30,-30:13:24.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-10T10:52:20.274,Jan 10 2014,UVES_dic1_cal_flatfree,2014-01-10T10:47:21,    13.001,,,"FREE,HER_5",56667.453012,1.000,-1.00
"LAMP,FLAT",13:48:10.30,-30:13:24.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-10T10:53:39.981,Jan 10 2014,UVES_dic1_cal_flatfree,2014-01-10T10:47:21,    13.001,,,"FREE,HER_5",56667.453935,1.000,-1.00
"LAMP,FLAT",13:48:10.30,-30:13:24.2,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-10T10:54:59.958,Jan 10 2014,UVES_dic1_cal_flatfree,2014-01-10T10:47:21,    13.001,,,"FREE,HER_5",56667.454861,1.000,-1.00
"LAMP,FLAT",11:44:59.25,-64:45:59.9,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-12T10:06:11.532,Jan 12 2014,UVES_dic1_cal_flatfree,2014-01-12T10:05:15,    16.931,,,"FREE,HER_5",56669.420967,1.000,-1.00
"LAMP,FLAT",11:44:59.25,-64:45:59.9,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-12T10:07:35.499,Jan 12 2014,UVES_dic1_cal_flatfree,2014-01-12T10:05:15,    16.931,,,"FREE,HER_5",56669.421939,1.000,-1.00
"LAMP,FLAT",11:44:59.25,-64:45:59.9,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-12T10:08:59.207,Jan 12 2014,UVES_dic1_cal_flatfree,2014-01-12T10:05:15,    16.931,,,"FREE,HER_5",56669.422907,1.000,-1.00
"LAMP,FLAT",11:44:59.25,-64:45:59.9,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-12T10:10:23.254,Jan 12 2014,UVES_dic1_cal_flatfree,2014-01-12T10:05:15,    16.931,,,"FREE,HER_5",56669.423880,1.000,-1.00
"LAMP,FLAT",11:44:59.25,-64:45:59.9,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-12T10:11:47.252,Jan 12 2014,UVES_dic1_cal_flatfree,2014-01-12T10:05:15,    16.931,,,"FREE,HER_5",56669.424852,1.000,-1.00
"LAMP,FLAT",08:40:56.34,-32:53:24.3,60.A-9022(A),UVES,CALIB,"LAMP,FLAT",ECHELLE,UVES.2014-01-15T09:59:05.459,Jan 15 2014,UVES_dic1_cal_flatfree,2014-01-15T09:58:08,    16.931,,,"FREE,HER_5",56672.416035,1.000,-1.00
