!mjd_obs        !mean_dy        
!---------------!---------------
 57128.4993964   3.834
 57132.5151801   3.883
 57132.5237015   3.591
 57136.4671317   3.686
 57139.4394817   3.607
 57139.4480023   3.204
 57140.3389841   3.015
 57142.5006129   3.638
 57146.5021369   4.038
 57146.5106541   3.754
 57146.5721419   4.073
 57157.5598637   4.432
 57157.5701724   4.242
 57160.5324333   3.571
 57161.5066325   4.37
 57163.5205733   3.695
 57163.529081    3.304
 57164.499567    3.549
 57166.5349407   4.542
 57167.4363515   3.709
 57169.4976348   3.95
 57170.5145471   4.178
 57170.5230564   3.72
 57172.5078771   4.435
 57175.6376998   3.351
 57176.4960283   3.879
 57177.554071    3.653
 57177.5625775   3.104
 57184.5523594   4.325
 57184.5608785   3.828
 57185.5390646   4.256
 57191.5125436   4.456
 57191.5210745   3.987
 57191.5726875   4.639
 57192.5273739   3.81
 57192.5863272   3.851
 57195.518708    4.146
 57198.546335    4.728
 57198.5548942   4.239
 57199.5679029   4.548
 57199.5770666   4.15
 57202.4530898   7.386
 57203.5366563   5.009
 57203.5603714   4.527
 57205.7845284   5.009
 57205.7930293   4.342
 57206.4989613   5.284
 57206.5092554   4.604
 57212.5562838   4.517
 57212.5650623   3.792
 57216.5418873   4.424
 57219.5288853   4.669
 57219.5374784   3.968
 57220.5452525   3.913
 57223.5516439   4.71
 57223.5762416   4.089
 57226.545904    4.623
 57226.5543933   4.144
 57229.5272857   4.072
 57229.5357658   3.57
 57229.5819415   3.687
 57234.5173542   4.838
 57236.6006621   4.633
 57236.6091564   3.947
 57244.7521923   4.204
 57244.7607829   3.715
 57246.6110392   3.598
 57250.4001313   3.922
 57250.4086287   3.387
 57250.4429716   4.161
 57251.3135455   4.756
 57251.3240562   4.096
 57255.588993    4.659
 57255.5981337   3.879
 57257.5313131   4.249
 57257.539832    3.605
 57258.5135124   3.983
 57258.5148935   6.987
 57259.5009754   7.005
 57260.5740665   7.141
 57261.5212309   6.655
 57264.5501762   4.021
 57264.5589664   3.688
 57271.4932757   5.103
 57271.5021281   4.544
 57272.495424    4.668
 57276.4687299   4.926
 57278.5641529   4.48
 57278.5726872   3.89
 57283.4872847   4.631
 57285.5031935   4.387
 57285.5119754   4.021
 57292.4710111   4.671
 57292.4795369   4.125
 57292.5670604   4.721
 57295.5057872   4.838
 57298.4740286   4.075
 57299.4804356   4.459
 57299.4893385   3.867
 57300.1748521   4.089
 57300.191392    3.602
 57306.5593181   4.635
 57306.5680496   4.002
 57310.4998097   4.258
 57311.4692474   4.046
 57321.4698996   4.687
 57321.4783916   4.031
 57327.5012503   4.305
 57328.4542165   5.021
 57328.4627104   4.139
 57329.4007176   4.718
 57331.1444056   3.633
 57331.1612821   2.905
 57335.4412364   4.238
 57335.4497639   3.934
 57336.4559838   3.941
 57340.4528431   4.375
 57340.4764352   3.661
 57342.4664272   4.809
 57342.4749134   3.437
 57343.452342    4.161
 57347.450607    4.88
 57349.438995    4.97
 57349.4475117   4.309
 57356.4548519   10.069
 57356.4633644   8.849
 57363.4465253   5.741
 57363.4550256   4.312
 57370.4499586   5.566
 57370.4587341   3.835
 57377.4500192   5.056
 57377.458486    3.815
 57377.5688993   3.96
 57378.4353247   5.61
 57380.4239216   3.135
 57384.4694845   5.315
 57384.4779816   3.806
 57391.4653341   4.96
 57391.473833    3.481
 57398.4468815   5.21
 57398.4553664   3.902
 57399.4569523   4.503
 57405.4909045   5.159
 57405.4993885   3.908
 57412.4983366   5.443
 57412.5068121   3.804
 57419.5145024   5.375
 57419.5230204   3.96
 57423.4489482   4.114
 57426.5128808   5.586
 57426.5213951   4.253
 57431.4781418   6.563
 57433.4976644   4.991
 57433.5061617   3.699
 57439.5321321   5.782
 57440.4896357   6.055
 57440.4981351   4.594
 57440.8377456   4.266
 57442.4256084   7.443
 57454.4954029   -0.411
 57454.5254041   -2.075
 57454.5789371   -0.646
 57461.4971721   -0.598
 57461.5056616   -2.013
 57464.4925428   -2.045
 57465.4907791   -0.647
 57468.4995481   -0.563
 57468.5080703   -1.913
 57470.5436678   -0.18
 57475.5177825   -0.232
 57475.5262864   -1.78
 57476.4948842   -0.094
 57478.499528    -1.827
 57479.503389    -1.801
 57482.503417    -0.396
 57482.5119461   -2.016
 57484.4670772   -0.427
 57488.4965123   -2.019
 57489.4485756   -0.445
 57489.4570922   -1.885
 57489.5210696   -0.408
 57495.4686067   -1.564
 57496.5184725   -0.378
 57496.5275218   -1.865
 57496.5685815   1.429
 57497.520179    -0.112
 57500.5101371   -1.674
 57503.5171442   -0.26
 57503.5256777   -1.723
 57503.5784657   -1.726
 57510.530666    -0.76
 57510.5391758   -1.873
 57513.4489061   -0.634
 57513.4589104   1.007
 57516.4313323   -0.378
 57517.4776421   -1.105
 57517.4862654   -2.417
 57520.502339    -2.076
 57523.5126534   -1.742
 57524.5276622   -0.722
 57524.5363143   -2.249
 57527.5514158   -1.988
 57529.4903995   -0.546
 57530.5077659   -1.888
 57531.500125    -0.836
 57531.5086301   -2.333
 57538.6358554   -0.352
 57538.6443532   -1.858
 57540.5649061   -1.81
 57543.5119349   -1.868
 57545.4762584   -0.357
 57545.4847711   -1.958
 57548.5242711   -0.883
 57548.5353482   -2.387
 57551.5396512   -0.775
 57551.5496545   -2.167
 57552.541437    -0.938
 57552.5499363   -2.385
 57552.600261    0.884
 57554.5247356   -2.202
 57555.5217401   -0.508
 57559.539156    -0.232
 57559.5476723   -1.917
 57566.5144253   -0.642
 57566.5232281   -2.497
 57567.5872634   -2.876
 57570.5210013   -1.681
 57571.5241884   -0.008
 57572.4523044   1.262
 57573.4679233   0.317
 57573.4767649   -2.194
 57576.5088728   -0.228
 57576.5189226   -2.008
 57580.521363    0.232
 57580.5298753   -1.399
 57582.5246465   -1.461
 57583.5377576   0.178
 57585.5215929   -1.809
 57587.5477943   -0.127
 57587.5563214   -1.681
 57590.511345    -1.827
 57593.5141219   -0.097
 57594.527966    -0.204
 57594.5366702   -1.841
 57595.5366026   -1.694
 57601.5157467   -0.455
 57601.5245428   -1.881
 57601.5761485   -1.813
 57608.5399498   -0.095
 57608.548466    -1.585
 57608.6137046   -0.09
 57610.4994842   -1.639
 57613.5320955   -0.031
 57615.6051315   -0.317
 57615.6136456   -1.813
